AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,Sector
Union,Union Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,3.59,13.82,,Banking
Union,Union Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,1.79,8.87,,Banking
Union,Union Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.04,5.93,,Banking
Union,Union Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,1.0,-0.23,4.62,5.22,Banking
Union,Union Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.66,4.43,,Banking
Union,Union Liquid Fund Direct Growth,Debt,Low to Moderate Risk,4.0,4.02,4.14,4.59,Banking
Union,Union Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.86,3.63,,Banking
Union,Union Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,3.0,1.1,,,Banking
Union,Union Midcap Fund Direct Growth,Equity,Very High Risk,3.0,8.47,,,Banking
Union,Union Midcap Fund Direct Growth,Equity,Very High Risk,3.0,8.47,,,Banking
Union,Union Gilt Fund Direct Growth,Debt,Moderate Risk,3.0,,,,Banking
Union,Union Large & Midcap Fund Direct Growth,Equity,Moderately High Risk,3.0,4.62,,,Banking
SBI,SBI Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,19.32,34.37,20.49,Banking
SBI,SBI Magnum Mid Cap Direct Plan Growth,Equity,Very High Risk,3.0,17.75,33.32,15.67,Banking
SBI,SBI Contra Direct Plan Growth,Equity,Very High Risk,5.0,18.4,32.39,15.88,Banking
SBI,SBI Magnum COMMA Fund Direct Growth,Equity,Very High Risk,3.0,-2.01,27.9,13.65,Banking
SBI,SBI Consumption Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,27.14,25.65,16.34,Banking
SBI,SBI Technology Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,-11.86,25.58,25.85,Banking
SBI,SBI Healthcare Opportunities Fund Direct Plan Growth,Equity,Very High Risk,3.0,-8.43,25.52,13.55,Banking
SBI,SBI Large & Midcap Fund Direct Plan Growth,Equity,Very High Risk,4.0,11.62,24.41,14.85,Banking
SBI,SBI Infrastructure Fund Direct Growth,Equity,Very High Risk,4.0,11.98,23.96,13.75,Banking
SBI,SBI Magnum Global Direct Plan Growth,Equity,Very High Risk,3.0,2.98,22.42,13.97,Banking
SBI,SBI Long Term Equity Fund Direct Plan Growth,Equity,Very High Risk,3.0,6.47,21.45,11.66,Banking
SBI,SBI Focused Equity Fund Direct Plan Growth,Equity,Very High Risk,4.0,0.85,20.66,15.43,Banking
SBI,SBI Equity Minimum Variance Fund Direct Growth,Equity,Very High Risk,3.0,2.33,19.28,,Banking
SBI,SBI Bluechip Direct Plan Growth,Equity,Very High Risk,3.0,4.17,19.23,12.24,Banking
SBI,SBI Magnum Equity ESG Fund Direct Plan Growth,Equity,Very High Risk,3.0,1.78,18.55,13.34,Banking
SBI,SBI Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,2.95,18.55,12.22,Banking
SBI,SBI Nifty Index Direct Plan Growth,Other,Very High Risk,3.0,2.77,18.02,13.1,Banking
SBI,SBI Equity Hybrid Fund Direct Plan Growth,Hybrid,Very High Risk,4.0,3.56,16.2,12.58,Banking
SBI,SBI PSU Direct Plan Growth,Equity,Very High Risk,3.0,18.28,16.03,3.88,Banking
SBI,SBI Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,5.0,4.0,15.76,12.99,Banking
SBI,SBI Multi Asset Allocation Fund Direct Growth,Hybrid,High Risk,4.0,5.87,12.74,10.08,Banking
SBI,SBI Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,6.88,12.06,8.32,Banking
SBI,SBI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,3.63,11.67,8.67,Banking
SBI,SBI Gold Direct Plan Growth,Other,High Risk,3.0,5.78,9.19,9.92,Banking
SBI,SBI Magnum Medium Duration Fund Direct Growth,Debt,Moderately High Risk,4.0,3.3,7.43,7.71,Banking
SBI,SBI Magnum Income Direct Plan Growth,Debt,Moderately High Risk,4.0,2.66,7.35,7.22,Banking
SBI,SBI Credit Risk Fund Direct Growth,Debt,High Risk,4.0,4.23,7.05,6.85,Banking
SBI,SBI Magnum Gilt Fund Direct Growth,Debt,Low to Moderate Risk,5.0,3.09,6.51,7.01,Banking
SBI,SBI Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.77,6.23,,Banking
SBI,SBI Dynamic Bond Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.18,6.1,6.83,Banking
SBI,SBI Short Term Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.01,6.06,6.64,Banking
SBI,SBI Banking and PSU Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.27,5.95,7.06,Banking
SBI,SBI Magnum Constant Maturity Fund Direct Growth,Debt,Moderate Risk,3.0,1.09,5.45,7.66,Banking
SBI,SBI Magnum Low Duration Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.7,5.36,6.35,Banking
SBI,SBI Savings Fund Direct Growth,Debt,Moderate Risk,3.0,4.05,5.08,6.18,Banking
SBI,SBI Magnum Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.84,4.85,6.11,Banking
SBI,SBI Arbitrage Opportunities Fund Direct Growth,Hybrid,Low Risk,2.0,4.47,4.3,5.34,Banking
SBI,SBI Liquid Fund Direct Plan Growth,Debt,Low to Moderate Risk,3.0,3.98,4.08,5.3,Banking
SBI,SBI Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.83,3.64,4.62,Banking
SBI,SBI Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,4.19,,,Banking
SBI,SBI Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,3.0,,,,Banking
SBI,SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth,Solution Oriented,Very High Risk,3.0,12.87,,,Banking
SBI,SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth,Solution Oriented,Very High Risk,3.0,12.87,,,Banking
SBI,SBI Fixed Maturity Plan Series 58 (1842 Days) Direct Growth,Debt,Moderate Risk,3.0,,,,Banking
SBI,SBI Multicap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
SBI,SBI International Access US Equity FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
SBI,SBI Fixed Maturity Plan Series 5 (92 Days) Direct Growth,Debt,Moderately Low Risk,3.0,,,,Banking
SBI,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund Direct Growth,Other,Moderate Risk,3.0,,,,Banking
SBI,SBI Capital Protection Oriented Fund Series A (Plan 8) Direct Growth,Hybrid,Moderate Risk,3.0,7.35,,,Banking
SBI,SBI Retirement Benefit Fund Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,3.0,5.48,,,Banking
ICICI,ICICI Prudential Smallcap Fund Direct Plan Growth,Equity,Very High Risk,4.0,13.67,33.38,17.03,Banking
ICICI,ICICI Prudential Technology Direct Plan Growth,Equity,Very High Risk,3.0,-14.6,29.99,28.0,Banking
ICICI,ICICI Prudential India Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,21.64,28.57,,Banking
ICICI,ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,Equity,Very High Risk,3.0,-11.09,26.41,,Banking
ICICI,ICICI Prudential MNC Fund Direct Growth,Equity,High Risk,3.0,8.4,26.01,,Banking
ICICI,ICICI Prudential Thematic Advantage Fund (FOF)Direct Growth,Other,Very High Risk,3.0,6.16,25.85,14.37,Banking
ICICI,ICICI Prudential Infrastructure Direct Growth,Equity,Very High Risk,4.0,22.31,25.5,13.88,Banking
ICICI,ICICI Prudential Midcap Direct Plan Growth,Equity,Very High Risk,3.0,7.59,25.28,13.35,Banking
ICICI,ICICI Prudential Value Discovery Direct Growth,Equity,Very High Risk,4.0,13.9,24.82,14.98,Banking
ICICI,ICICI Prudential Manufacturing Fund Direct Growth,Equity,Very High Risk,3.0,8.66,24.16,,Banking
ICICI,ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity,Very High Risk,3.0,15.72,23.95,14.24,Banking
ICICI,ICICI Prudential Dividend Yield Equity Fund Direct Growth,Equity,Very High Risk,3.0,13.92,23.0,11.81,Banking
ICICI,ICICI Prudential Equity & Debt Fund Direct Growth,Hybrid,Very High Risk,5.0,16.06,22.78,15.04,Banking
ICICI,ICICI Prudential Focused Equity Fund Direct Growth,Equity,Very High Risk,4.0,7.22,22.68,14.69,Banking
ICICI,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,15.78,22.23,,Banking
ICICI,ICICI Prudential Bharat Consumption Fund Direct Growth,Equity,High Risk,3.0,18.68,21.53,,Banking
ICICI,ICICI Prudential Multi Asset Fund Direct Growth,Hybrid,Very High Risk,4.0,17.2,20.97,14.46,Banking
ICICI,ICICI Prudential Exports and Services Fund Direct Growth,Equity,Very High Risk,3.0,5.87,20.63,13.03,Banking
ICICI,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth,Equity,Very High Risk,3.0,3.28,19.76,13.96,Banking
ICICI,ICICI Prudential Multicap Fund Direct Plan Growth,Equity,Very High Risk,3.0,5.55,19.71,13.27,Banking
ICICI,ICICI Prudential Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,6.44,19.3,13.12,Banking
ICICI,ICICI Prudential Nifty Next 50 Index Direct Growth,Other,Very High Risk,2.0,4.1,19.26,9.5,Banking
ICICI,ICICI Prudential Nifty 50 Index Direct Plan Growth,Other,Very High Risk,3.0,2.77,18.3,13.16,Banking
ICICI,ICICI Prudential S&P BSE Sensex Index Fund Direct Growth,Other,Very High Risk,3.0,2.56,18.05,,Banking
ICICI,ICICI Prudential FMCG Direct Growth,Equity,Very High Risk,3.0,18.37,17.77,13.61,Banking
ICICI,ICICI Prudential Passive Strategy Fund (FOF) Direct Growth,Other,Very High Risk,3.0,1.38,16.96,10.83,Banking
ICICI,ICICI Prudential BHARAT 22 FOF Direct Growth,Other,Very High Risk,1.0,27.14,16.53,,Banking
ICICI,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,4.95,16.4,,Banking
ICICI,ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,Other,Moderately High Risk,4.0,7.35,14.91,11.83,Banking
ICICI,ICICI Prudential Balanced Advantage Direct Growth,Hybrid,Moderately High Risk,4.0,8.85,14.46,11.01,Banking
ICICI,ICICI Prudential US Bluechip Equity Direct Plan Growth,Equity,Very High Risk,3.0,-7.24,14.27,15.92,Banking
ICICI,ICICI Prudential Banking and Financial Services Direct Plan Growth,Equity,Very High Risk,3.0,2.77,13.92,8.66,Banking
ICICI,ICICI Prudential Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,6.7,10.72,8.97,Banking
ICICI,ICICI Prudential Income Optimizer Fund (FOF) Direct Growth,Other,Moderate Risk,4.0,5.99,9.65,8.42,Banking
ICICI,ICICI Prudential Retirement Fund Hybrid Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,2.94,8.97,,Banking
ICICI,ICICI Prudential Regular Gold Savings (FOF) Direct Growth,Other,High Risk,3.0,5.47,8.92,10.22,Banking
ICICI,ICICI Prudential Equity Savings Fund Direct Growth,Hybrid,Low to Moderate Risk,3.0,6.7,8.65,7.84,Banking
ICICI,ICICI Prudential Global Stable Equity Fund (FOF) Direct Growth,Other,Very High Risk,3.0,-3.61,8.45,8.96,Banking
ICICI,ICICI Prudential Credit Risk Fund Direct Plan Growth,Debt,High Risk,4.0,5.4,8.28,8.06,Banking
ICICI,ICICI Prudential Medium Term Bond Fund Direct Plan Growth,Debt,Moderately High Risk,5.0,4.35,8.02,7.36,Banking
ICICI,ICICI Prudential All Seasons Bond Fund Direct Plan Growth,Debt,Moderate Risk,5.0,4.25,7.89,7.52,Banking
ICICI,ICICI Prudential Short Term Fund Direct Plan Growth,Debt,Moderate Risk,4.0,4.45,7.39,7.43,Banking
ICICI,ICICI Prudential Retirement Fund Pure Debt Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,3.34,7.28,,Banking
ICICI,ICICI Prudential Gilt Fund Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.07,7.25,7.03,Banking
ICICI,ICICI Prudential Corporate Bond Fund Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.9,6.87,7.14,Banking
ICICI,ICICI Prudential Floating Interest Fund Direct Plan Growth,Debt,Low to Moderate Risk,3.0,3.42,6.84,7.15,Banking
ICICI,ICICI Prudential Bond Fund Direct Plan Growth,Debt,Moderate Risk,4.0,2.79,6.74,6.8,Banking
ICICI,ICICI Prudential Banking & PSU Debt Direct Growth,Debt,Low to Moderate Risk,4.0,4.1,6.69,6.78,Banking
ICICI,ICICI Prudential Debt Management Fund (FOF) Direct Plan Growth,Other,Moderate Risk,4.0,3.31,6.54,6.85,Banking
ICICI,ICICI Prudential Constant Maturity Gilt Fund Direct Growth,Debt,Moderate Risk,3.0,0.69,6.15,7.5,Banking
ICICI,ICICI Prudential Savings Fund Direct Plan Growth,Debt,Low to Moderate Risk,2.0,3.45,5.9,6.62,Banking
ICICI,ICICI Prudential Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,5.0,4.37,5.84,6.72,Banking
ICICI,ICICI Prudential Money Market Direct Growth,Debt,Moderate Risk,3.0,4.01,5.03,6.18,Banking
ICICI,ICICI Prudential Long Term Bond Fund Direct Plan Growth,Debt,Moderate Risk,3.0,0.84,4.84,6.29,Banking
ICICI,ICICI Prudential Equity Arbitrage Direct Growth,Hybrid,Low Risk,3.0,4.11,4.57,5.47,Banking
ICICI,ICICI Prudential Liquid Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.96,4.12,5.36,Banking
ICICI,ICICI Prudential Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.84,3.64,,Banking
ICICI,ICICI Prudential Nifty Smallcap 250 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Passive Multi Asset FoF Direct Growth,Other,High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Nifty Alpha Low Volatility 30 ETF FOF Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund Direct Growth,Other,Moderate Risk,3.0,,,,Banking
ICICI,ICICI Prudential Strategic Metal and Energy Equity FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential S&P BSE 500 ETF FOF Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Quant Fund Direct Growth,Equity,Very High Risk,3.0,2.0,,,Banking
ICICI,ICICI Prudential ESG Fund Direct Growth,Equity,Very High Risk,3.0,-4.71,,,Banking
ICICI,ICICI Prudential Commodities Fund Direct Growth,Equity,High Risk,3.0,3.02,,,Banking
ICICI,ICICI Prudential Silver ETF FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Nifty 200 Momentum 30 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Nifty Bank Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Global Advantage Fund (FOF) Direct  Growth,Other,High Risk,3.0,-16.59,,,Banking
ICICI,ICICI Prudential Global Advantage Fund (FOF) Direct Growth,Other,High Risk,3.0,-16.59,,,Banking
ICICI,ICICI Prudential NASDAQ 100 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Nifty IT Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,11.92,,,Banking
ICICI,ICICI Prudential Nifty Midcap 150 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential Housing Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
ICICI,ICICI Prudential India Equity FOF Direct Growth,Other,Very High Risk,3.0,10.57,,,Banking
ICICI,ICICI Prudential Nifty SDL Sep 2027 Index Fund Direct Growth,Other,Moderate Risk,3.0,,,,Banking
IDBI,IDBI Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,21.81,32.83,15.29,Banking
IDBI,IDBI Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,7.74,23.65,14.45,Banking
IDBI,IDBI Midcap Fund Direct Growth,Equity,Very High Risk,1.0,1.01,23.03,9.95,Banking
IDBI,IDBI India Top 100 Equity Fund Direct Growth,Equity,Very High Risk,4.0,4.28,21.64,12.36,Banking
IDBI,IDBI Dividend Yield Fund Direct Growth,Equity,Very High Risk,3.0,5.3,21.46,,Banking
IDBI,IDBI Healthcare Fund Direct Growth,Equity,High Risk,3.0,-14.49,21.15,,Banking
IDBI,IDBI Focused 30 Equity Fund Direct Growth,Equity,Very High Risk,4.0,3.8,19.38,,Banking
IDBI,IDBI Nifty Junior Index Fund Direct Growth,Other,Very High Risk,2.0,4.41,19.26,9.46,Banking
IDBI,IDBI Nifty Index Fund Direct Growth,Other,Very High Risk,3.0,2.81,18.0,13.03,Banking
IDBI,IDBI Long Term Value Fund Direct Growth,Equity,Very High Risk,2.0,5.19,17.84,,Banking
IDBI,IDBI Equity Advantage Fund Direct Growth,Equity,Very High Risk,2.0,5.22,17.64,11.2,Banking
IDBI,IDBI Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,2.39,14.31,7.81,Banking
IDBI,IDBI Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,2.0,2.61,12.98,,Banking
IDBI,IDBI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,3.62,10.03,7.16,Banking
IDBI,IDBI Gold Direct Growth,Other,High Risk,1.0,6.59,8.0,9.47,Banking
IDBI,IDBI Short Term Bond Fund Direct Growth,Debt,Moderate Risk,4.0,11.09,7.98,6.9,Banking
IDBI,IDBI Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,5.0,4.55,6.51,5.91,Banking
IDBI,IDBI Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,3.51,6.37,5.63,Banking
